iter:  70.0 , lambda:  1 , alpha:  0.25 , kernel: rbf method:  cobyla , catol:  0.001 , initiator:  1e-05
c_init:  [4.61210947e-07 1.54633456e-06 2.19932822e-06 ... 5.61520195e-07
 7.17752571e-06 3.05347832e-06]
loss:  308448.6893831645
loss:  257856.8926955727
loss:  238819.87163626344
loss:  270754.6740591288
loss:  261318.90349090242
loss:  265160.74206520943
loss:  279892.5700763716
loss:  276006.51538936625
loss:  241600.82227450045
loss:  239045.1676744288
loss:  276100.69449242996
loss:  238903.8261664439
loss:  278381.9803718598
loss:  263871.94808021095
loss:  257829.80789642938
loss:  270197.58064728073
loss:  246101.48362015106
loss:  279473.77895243844
loss:  279193.28927054734
loss:  276817.80202989286
loss:  271527.27081095707
loss:  276061.7568985286
loss:  239771.5026612511
loss:  238351.67564934562
loss:  274097.44939226063
loss:  278440.3015874071
loss:  241865.17596151776
loss:  269940.7138189429
loss:  241197.3223391957
loss:  278821.7305942068
loss:  262009.39295712102
loss:  270146.70950764825
loss:  272472.66870685195
loss:  264400.0650416878
loss:  269943.74731677084
loss:  242537.65079867523
