iter:  10000.0 , lambda:  1 , alpha:  0.0 , kernel: rbf method:  cobyla , catol:  0.001 , initiator:  1e-05
c_init:  [6.22300636e-06 1.69693936e-06 6.47108542e-06 ... 5.61520195e-07
 7.17752571e-06 3.05347832e-06]
loss:  -0.0690751300917368
loss:  -0.5329454375986741
loss:  0.0006413676028511617
loss:  -0.021947030983284765
loss:  -2.0595597549383196
loss:  -2.5058410196039493
loss:  -1.9486661416795341
loss:  -3.0056039832075587
loss:  -2.5467558577845057
loss:  -3.5054826932471572
loss:  -2.953480419193487
loss:  -5.0288530625515175
loss:  -5.440552607165303
loss:  -5.007334018031748
loss:  -4.8535660583857005
loss:  -4.946985995647442
loss:  -5.939617399923919
loss:  -5.396247249904542
loss:  -5.374111306913601
loss:  -5.347812974099498
loss:  -5.397055579483818
loss:  -5.6228843488844245
loss:  -5.3617220046036405
loss:  -6.439527293801461
loss:  -7.848354419110618
loss:  -8.27188526076542
loss:  -9.76221849574232
loss:  -10.12318949650714
loss:  -10.694866818168649
loss:  -11.194763316054676
loss:  -10.851016292596675
loss:  -12.338655117417114
loss:  -12.018833447928381
loss:  -13.349826990107395
loss:  -12.835653099208745
loss:  -12.826655851685747
loss:  -14.949397933825622
loss:  -15.517899979191785
loss:  -14.966204791966163
loss:  -15.130508699419284
loss:  -14.972560093234806
loss:  -14.984893222433536
loss:  -15.13873212331675
loss:  -15.0741522542645
loss:  -14.974339328751778
loss:  -15.0029420285307
loss:  -15.014799207769041
loss:  -15.006029381664765
loss:  -15.011855271164396
loss:  -17.023219436605395
loss:  -17.604866592959915
loss:  -17.177676955815954
loss:  -18.104737367616433
loss:  -17.72154318073948
loss:  -18.604613738526048
loss:  -19.244241170639313
loss:  -18.946728462256818
loss:  -18.88953883898321
loss:  -20.618724093224333
loss:  -21.169304439901143
loss:  -20.746979276530084
loss:  -21.18993463312735
loss:  -20.793306928713484
loss:  -20.778102587094526
loss:  -20.76777783413735
loss:  -20.77557588751863
